GeneName	UniprotID.Cha	UniprotID.Tya	UniprotID.Kang	UniprotID.Gamez	Dataset
GTF2I	P78347	NA	NA	NA	Cha
GUSB	NA	NA	NA	NA	Pav
H2AX	P16104	NA	NA	NA	Cha
H2B1B	P33778	NA	NA	NA	Cha
H2B1D	P58876	NA	NA	NA	Cha
H2B1H	Q93079	NA	NA	NA	Cha
H2B1J	P06899	NA	NA	NA	Cha
H2B1L	Q99880	NA	NA	NA	Cha
H2B1M	Q99879	NA	NA	NA	Cha
H2B1N	Q99877	NA	NA	NA	Cha
H2B1O	P23527	NA	NA	NA	Cha
H2B2E	Q16778	NA	NA	NA	Cha
H2B2F	Q5QNW6	NA	NA	NA	Cha
H2B3B	Q8N257	NA	NA	NA	Cha
HBA2|HBA1	NA	NA	NA	NA	Pav
HBB	NA	NA	NA	NA	Pav
HBB	NA	NA	NA	NA	Pav
HBD	NA	NA	NA	NA	Pav
HBE1	NA	NA	NA	NA	Pav
HBG1	NA	NA	NA	NA	Pav
HEMO	P02790	NA	NA	NA	Cha
HEXA	NA	NA	NA	NA	Pav
HEXB	NA	NA	NA	NA	Pav
HIBCH	Q6NVY1	NA	NA	NA	Cha
HID1	NA	Q8IV36-2|Q8IV36|Q8IV36-3	NA	NA	Tya
HINT1	P49773	NA	NA	NA	Cha
HIST1H2AE	NA	NA	NA	NA	Pav
HIST1H2BL	NA	NA	NA	NA	Pav
HIST2H4A	NA	NA	NA	NA	Pav
HK2	NA	P52789|E9PB90	NA	NA	Tya
HLA-DRA	NA	NA	NA	NA	Pav
HMBS	NA	NA	NA	NA	Pav
HMGA1	NA	NA	NA	NA	Pav
HMGA2	NA	NA	NA	NA	Pav
HMGB3	NA	NA	NA	NA	Pav
HNRNPA1	NA	NA	NA	NA	Pav
HNRNPA2B1	NA	NA	NA	NA	Pav
HNRNPAB	NA	NA	NA	NA	Pav
HNRNPC	NA	NA	NA	NA	Pav
HNRNPD	NA	NA	NA	NA	Pav
HNRNPH1	NA	NA	NA	NA	Pav
HNRNPK	NA	NA	NA	NA	Pav
HNRPF	P52597	NA	NA	NA	Cha
HP	NA	NA	NA	NA	Pav
HPRT1	NA	NA	NA	NA	Pav
HPX	NA	NA	NA	NA	Pav
HRG	NA	NA	NA	NA	Pav
HRNR	NA	NA	NA	NA	Pav
HS105	Q92598	NA	NA	NA	Cha
HSP90AA1	NA	NA	NA	NA	Pav
HSP90B1	NA	NA	NA	NA	Pav
HSPA1B	NA	NA	NA	NA	Pav
HSPA5	NA	NA	NA	NA	Pav
HSPA8	NA	NA	NA	NA	Pav
HSPA9	NA	NA	NA	NA	Pav
HSPB1	P04792	NA	NA	NA	Cha|Pav
HSPE1	NA	NA	NA	NA	Pav
HSPG2	NA	NA	NA	NA	Pav
HTN1	NA	NA	NA	NA	Pav
HTRA1	NA	NA	NA	NA	Pav
HXK1	P19367	NA	NA	NA	Cha
HYEP	P07099	NA	NA	NA	Cha
HYOU1	NA	NA	NA	NA	Pav
ICAM1	NA	NA	NA	NA	Pav
IDH1	NA	NA	NA	NA	Pav
IDH2	NA	P48735|B4DFL2|B4DSZ6	NA	NA	Tya
IF3EI	Q9Y262	NA	NA	NA	Cha
IFI30	NA	NA	NA	NA	Pav
IFITM2	NA	NA	NA	NA	Pav
IFM1	P13164	NA	NA	NA	Cha
IFM2	2Q01629	NA	NA	NA	Cha
IFM3	Q01628	NA	NA	NA	Cha
IGF2R	NA	NA	NA	NA	Pav
IGFALS	NA	NA	NA	NA	Pav
IGFBP2	NA	NA	NA	NA	Pav
IGFBP4	NA	NA	NA	NA	Pav
IGFBP6	NA	NA	NA	NA	Pav
IGH@	NA	NA	NA	NA	Pav
IGHA1	P01876	NA	NA	NA	Cha
IGHA2	P01877	NA	NA	NA	Cha|Pav
IGHA2	P01877	NA	NA	NA	Cha|Pav
IGHA2	P01877	NA	NA	NA	Cha|Pav
IGHA2	P01877	NA	NA	NA	Cha|Pav
IGHD	NA	NA	NA	NA	Pav
IGHG1	NA	NA	NA	NA	Pav
IGHG1	NA	NA	NA	NA	Pav
IGHG1	NA	NA	NA	NA	Pav
IGHG2	NA	NA	NA	NA	Pav
IGHG3	NA	NA	NA	NA	Pav
IGHG4	NA	NA	NA	NA	Pav
IGHM	NA	NA	NA	NA	Pav
IGHM	NA	NA	NA	NA	Pav
IGHM	NA	NA	NA	NA	Pav
IGHV1OR15-1	NA	NA	NA	NA	Pav
IGHV4-31	NA	NA	NA	NA	Pav
IGHV4-31	NA	NA	NA	NA	Pav
IGHV7-81	NA	NA	NA	NA	Pav
IGJ	P01591	NA	NA	NA	Cha|Pav
IGK@	NA	NA	NA	NA	Pav
IGKC	NA	NA	NA	NA	Pav
IGKC	NA	NA	NA	NA	Pav
IGKC	NA	NA	NA	NA	Pav
IGKC	NA	NA	NA	NA	Pav
IGKC	NA	NA	NA	NA	Pav
IGKC	NA	NA	NA	NA	Pav
IGKV1-5	NA	NA	NA	NA	Pav
IGKV2-24	NA	NA	NA	NA	Pav
IGKV3-20	NA	NA	NA	NA	Pav
IGKV3-20	NA	NA	NA	NA	Pav
IGKV3D-11	NA	NA	NA	NA	Pav
IGKV3D-15	NA	NA	NA	NA	Pav
IGL@	NA	NA	NA	NA	Pav
IGL@	NA	NA	NA	NA	Pav
IGL@	NA	NA	NA	NA	Pav
IGL@	NA	NA	NA	NA	Pav
IGL@	NA	NA	NA	NA	Pav
IGLV1-40	NA	NA	NA	NA	Pav
IGLV1-44	NA	NA	NA	NA	Pav
IGLV10-54	NA	NA	NA	NA	Pav
IGLV2-11	NA	NA	NA	NA	Pav
IGLV2-14	NA	NA	NA	NA	Pav
IGLV2-18	NA	NA	NA	NA	Pav
IGLV3-1	NA	NA	NA	NA	Pav
IGLV3-21	NA	NA	NA	NA	Pav
IGLV3-25	NA	NA	NA	NA	Pav
IGLV4-60	NA	NA	NA	NA	Pav
IGLV4-69	NA	NA	NA	NA	Pav
IGLV5-45	NA	NA	NA	NA	Pav
IGSF1	NA	NA	NA	NA	Pav
IGSF21	NA	NA	NA	NA	Pav
IL1RL1	NA	NA	NA	NA	Pav
IL34	NA	NA	NA	NA	Pav
IL6ST	NA	NA	NA	NA	Pav
IPO5	O00410	NA	NA	NA	Cha
IQGA2	Q13576	NA	NA	NA	Cha
IQGAP1	NA	NA	NA	NA	Pav
ISLR	NA	NA	NA	NA	Pav
ITA6	P23229	NA	NA	NA	Cha
ITB4	P16144	NA	NA	NA	Cha
ITFG1	NA	NA	NA	NA	Pav
ITIH1	NA	NA	NA	NA	Pav
ITIH2	NA	NA	NA	NA	Pav
ITIH3	NA	NA	NA	NA	Pav
ITIH4	NA	NA	NA	NA	Pav
ITM2B	NA	NA	NA	NA	Pav
JAG1	NA	NA	NA	NA	Pav
K1C15	P19012	NA	NA	NA	Cha
K1C17	Q04695	NA	NA	NA	Cha
KAD1	P00568	NA	NA	NA	Cha
KAPCB	P22694	NA	NA	NA	Cha
KAT	Q8NFU3	NA	NA	NA	Cha
KCD12	Q96CX2	NA	NA	NA	Cha
KIAA1598	NA	A0MZ66|A0MZ66-3|A0MZ66-6|A0MZ66-4|A0MZ66-5|A0MZ66-8|A0MZ66-2	NA	NA	Tya
KINH	P33176	NA	NA	NA	Cha
KLK10	NA	NA	NA	NA	Pav
KLK11	NA	NA	NA	NA	Pav
KLK5	NA	NA	NA	NA	Pav
KLK6	NA	NA	NA	NA	Pav
KNG1	NA	NA	NA	NA	Pav
KPNB1	NA	NA	NA	NA	Pav
KRT1	NA	NA	NA	NA	Pav
KRT10	NA	NA	NA	NA	Pav
KRT13	NA	NA	NA	NA	Pav
KRT14	NA	NA	NA	NA	Pav
KRT16	NA	NA	NA	NA	Pav
KRT17	NA	NA	NA	NA	Pav
KRT18	NA	NA	NA	NA	Pav
KRT19	NA	NA	NA	NA	Pav
KRT2	NA	NA	NA	NA	Pav
KRT5	NA	NA	NA	NA	Pav
KRT6A	NA	NA	NA	NA	Pav
KRT7	NA	NA	NA	NA	Pav
KRT8	NA	NA	NA	NA	Pav
KRT9	NA	NA	NA	NA	Pav
KT81L	A6NCN2	NA	NA	NA	Cha
KV201	P01614	NA	NA	NA	Cha
KV204	P01617	NA	NA	NA	Cha
KV205	P06309	NA	NA	NA	Cha
KV206	P06310	NA	NA	NA	Cha
KV302	P01620	NA	NA	NA	Cha
KV304	P01620	NA	NA	NA	Cha
KV305	P01620	NA	NA	NA	Cha
KV307	P01620	NA	NA	NA	Cha
KV312	P18135	NA	NA	NA	Cha
KV313	P18135	NA	NA	NA	Cha
LAC	P01842	NA	NA	NA	Cha
LALBA	NA	NA	NA	NA	Pav
LAMA3	Q16787	NA	NA	NA	Cha|Pav
LAMA5	O15230	NA	NA	NA	Cha|Pav
LAMB1	NA	NA	NA	NA	Pav
