Names	Uniprot
CRYZ;DKFZp686C16101;hCG_21668	A6NN60
CRYZ;DKFZp686C16101;hCG_21668	A6NP24
CRYZ;DKFZp686C16101;hCG_21668	C9JH92
CRYZ;DKFZp686C16101;hCG_21668	A8MU94
CRYZ;DKFZp686C16101;hCG_21668	Q5HYE7
LMPY;PSMB6;Y;hCG_32695	P28072
LMPY;PSMB6;Y;hCG_32695	Q6IAT9
YWHAE	P62258
YWHAE	B7ZA86
YWHAE	Q4VJB6
YWHAE	B4DJB0
YWHAE	C9JAV0
CHD4	Q14839-2
CHD4	Q14839
CHD4	Q14839-1
CHD4	B3KY63
CHD4	Q05CG6
MSP;TMPRSS11;TMPRSS13	Q9BYE2-1
MSP;TMPRSS11;TMPRSS13	Q9BYE2
MSP;TMPRSS11;TMPRSS13	B4DTM9
MSP;TMPRSS11;TMPRSS13	C9JR49
MSP;TMPRSS11;TMPRSS13	Q1RMF8
MSP;TMPRSS11;TMPRSS13	C9JZZ9
MSP;TMPRSS11;TMPRSS13	Q9BYE2-2
MSP;TMPRSS11;TMPRSS13	C9JBG7
MSP;TMPRSS11;TMPRSS13	Q9BYE2-3
MSP;TMPRSS11;TMPRSS13	Q9BYE2-4
SPRR2G;SPRR2B;SPRR2A;SPRR2E;SPRR2D	Q9BYE4
SPRR2G;SPRR2B;SPRR2A;SPRR2E;SPRR2D	P35325
SPRR2G;SPRR2B;SPRR2A;SPRR2E;SPRR2D	P35326
SPRR2G;SPRR2B;SPRR2A;SPRR2E;SPRR2D	P22531
SPRR2G;SPRR2B;SPRR2A;SPRR2E;SPRR2D	P22532
TSHB	P01222
TSHB	Q15962
FERMT2;KIND2;MIG2;PLEKHC1	A8K6S3
FERMT2;KIND2;MIG2;PLEKHC1	B5TJY2
FERMT2;KIND2;MIG2;PLEKHC1	Q96AC1-1
FERMT2;KIND2;MIG2;PLEKHC1	Q96AC1
FERMT2;KIND2;MIG2;PLEKHC1	Q96AC1-2
NELFE;RD;RDBP;DADB-122G4.4-011;DAMC-178C20.5-011;DAQB-331I12.3-011;DASS-107J21.4-011;XXbac-BCX116I9.1-011;XXbac-BPG116M5.4-011;hCG_43696;DADB-122G4.4-007;DAMC-178C20.5-007;DAQB-331I12.3-007;DASS-107J21.4-007;XXbac-BCX116I9.1-007;XXbac-BPG116M5.4-007;DADB-122G4.4-010;DAMC-178C20.5-010;DAQB-331I12.3-010;DASS-107J21.4-010;XXbac-BCX116I9.1-010;XXbac-BPG116M5.4-010	B4DYX9
NELFE;RD;RDBP;DADB-122G4.4-011;DAMC-178C20.5-011;DAQB-331I12.3-011;DASS-107J21.4-011;XXbac-BCX116I9.1-011;XXbac-BPG116M5.4-011;hCG_43696;DADB-122G4.4-007;DAMC-178C20.5-007;DAQB-331I12.3-007;DASS-107J21.4-007;XXbac-BCX116I9.1-007;XXbac-BPG116M5.4-007;DADB-122G4.4-010;DAMC-178C20.5-010;DAQB-331I12.3-010;DASS-107J21.4-010;XXbac-BCX116I9.1-010;XXbac-BPG116M5.4-010	P18615
NELFE;RD;RDBP;DADB-122G4.4-011;DAMC-178C20.5-011;DAQB-331I12.3-011;DASS-107J21.4-011;XXbac-BCX116I9.1-011;XXbac-BPG116M5.4-011;hCG_43696;DADB-122G4.4-007;DAMC-178C20.5-007;DAQB-331I12.3-007;DASS-107J21.4-007;XXbac-BCX116I9.1-007;XXbac-BPG116M5.4-007;DADB-122G4.4-010;DAMC-178C20.5-010;DAQB-331I12.3-010;DASS-107J21.4-010;XXbac-BCX116I9.1-010;XXbac-BPG116M5.4-010	A2BE08
NELFE;RD;RDBP;DADB-122G4.4-011;DAMC-178C20.5-011;DAQB-331I12.3-011;DASS-107J21.4-011;XXbac-BCX116I9.1-011;XXbac-BPG116M5.4-011;hCG_43696;DADB-122G4.4-007;DAMC-178C20.5-007;DAQB-331I12.3-007;DASS-107J21.4-007;XXbac-BCX116I9.1-007;XXbac-BPG116M5.4-007;DADB-122G4.4-010;DAMC-178C20.5-010;DAQB-331I12.3-010;DASS-107J21.4-010;XXbac-BCX116I9.1-010;XXbac-BPG116M5.4-010	A2ABK2
NELFE;RD;RDBP;DADB-122G4.4-011;DAMC-178C20.5-011;DAQB-331I12.3-011;DASS-107J21.4-011;XXbac-BCX116I9.1-011;XXbac-BPG116M5.4-011;hCG_43696;DADB-122G4.4-007;DAMC-178C20.5-007;DAQB-331I12.3-007;DASS-107J21.4-007;XXbac-BCX116I9.1-007;XXbac-BPG116M5.4-007;DADB-122G4.4-010;DAMC-178C20.5-010;DAQB-331I12.3-010;DASS-107J21.4-010;XXbac-BCX116I9.1-010;XXbac-BPG116M5.4-010	B7Z6T4
